Ride Distance (km),Vehicle Type,Promo Value,Fare,Paid,Hour,Minute,Class,Day,Saving
6.53,GrabBike,7000,10000,7000,8,33,MURAH,Tue,3000
4.35,GrabCar,12000,19000,12000,18,38,SEDANG,Wed ,7000
7.31,GrabCar,12000,28000,12000,8,53,SEDANG,Thu,16000
7.47,GrabCar,12000,21000,12000,8,9,SEDANG,Mon ,9000
2.96,GrabCar,12000,2000,2000,19,28,MURAH,Mon,0
7.47,GrabCar,12000,23000,12000,8,41,SEDANG,Wed ,11000
4.26,GrabBike,10000,1000,1000,17,45,MURAH,Wed ,0
6.26,GrabBike,11000,5000,5000,8,22,MURAH,Thu ,0
4.71,GrabBike,11000,13000,11000,17,36,MURAH,Thu ,2000
21.35,GrabCar,12000,68000,12000,21,14,MAHAL,Sun,56000
6.43,GrabBike,10000,7000,7000,8,28,MURAH,Mon ,0
4.26,GrabBike,10000,1000,1000,17,50,MURAH,Mon ,0
4.26,GrabBike,10000,12000,10000,17,56,MURAH,Tue,2000
2.67,GrabCar,0,22000,22000,17,14,SEDANG,Wed ,0
7.47,GrabCar,0,37000,37000,8,52,MAHAL,Thu,0
4.3,GrabBike,10000,1000,1000,17,51,MURAH,Thu ,0
6.29,GrabBike,10000,6000,6000,8,22,MURAH,Fri ,0
1.54,GrabCar,9000,10000,9000,12,7,MURAH,Mon ,1000
1.88,GrabCar,9000,10000,9000,13,28,MURAH,Mon ,1000
6.43,GrabBike,7000,10000,7000,8,39,MURAH,Tue,3000
1.37,GrabCar,7000,12000,7000,12,52,MURAH,Tue,5000
6.5,GrabCar,7000,27000,7000,17,17,SEDANG,Tue,20000
7.47,GrabCar,7000,28000,7000,8,39,SEDANG,Wed ,21000
4.26,GrabBike,7000,4000,4000,17,51,MURAH,Wed ,0
15.6,GrabCar,7000,56000,7000,6,51,MAHAL,Thu,49000
25.81,GrabCar,7000,95000,7000,10,51,MAHAL,Thu ,88000
6.04,GrabCar,7000,28000,7000,15,38,SEDANG,Thu ,21000
9.68,GrabCar,7000,43000,7000,16,33,MAHAL,Thu ,36000
15.53,GrabCar,0,62000,62000,7,22,MAHAL,Fri,0
1.79,GrabCar,0,17000,17000,12,11,SEDANG,Fri,0
15.7,GrabCar,0,88000,88000,18,56,MAHAL,Fri ,0
15.25,GrabCar,0,57000,57000,7,4,MAHAL,Mon ,0
17.63,GrabCar,0,65000,65000,20,17,MAHAL,Mon ,0
15.27,GrabCar,0,57000,57000,7,10,MAHAL,Tue,0
15.69,GrabCar,0,68000,68000,18,12,MAHAL,Tue,0
15.28,GrabCar,0,57000,57000,7,14,MAHAL,Wed,0
15.69,GrabCar,0,72000,72000,18,11,MAHAL,Wed,0
3.57,GrabCar,0,20000,20000,7,57,SEDANG,Thu ,0
3.79,GrabCar,0,46000,46000,17,49,MAHAL,Thu ,0
15.53,GrabCar,0,62000,62000,7,5,MAHAL,Fri ,0
6.17,GrabCar,0,33000,33000,8,21,MAHAL,Fri ,0
20.04,GrabCar,0,110000,110000,18,17,MAHAL,Fri ,0
21.6,GrabCar,9000,73000,9000,19,21,MAHAL,Sun,64000
5.64,GrabBike,7000,8000,7000,8,37,MURAH,Mon ,1000
4.26,GrabBike,7000,4000,4000,17,36,MURAH,Mon ,0
6.17,GrabCar,9000,23000,9000,8,21,SEDANG,Tue ,14000
6.17,GrabCar,7000,25000,7000,8,41,SEDANG,Wed ,18000
6.17,GrabCar,7000,27000,7000,8,54,SEDANG,Thu,20000
15.6,GrabCar,7000,52000,7000,6,57,MAHAL,Mon,45000
5.65,GrabBike,7000,8000,7000,8,27,MURAH,Mon ,1000
4.27,GrabBike,7000,4000,4000,18,39,MURAH,Mon ,0
15.69,GrabCar,7000,59000,7000,18,57,MAHAL,Mon ,52000
15.27,GrabCar,7000,52000,7000,7,25,MAHAL,Tue ,45000
5.83,GrabBike,7000,8000,7000,8,22,MURAH,Tue ,1000
6.17,GrabCar,7000,25000,7000,8,53,SEDANG,Wed,18000
6.17,GrabCar,7000,24000,7000,8,36,SEDANG,Thu ,17000
3.3,GrabCar,0,23000,23000,15,29,SEDANG,Thu ,0
6.17,GrabCar,8000,22000,8000,8,3,SEDANG,Fri ,14000
4.34,GrabBike,7000,4000,4000,17,39,MURAH,Fri ,0
5.79,GrabBike,0,15000,15000,8,37,MURAH,Mon ,0
6.17,GrabCar,7000,25000,7000,8,55,SEDANG,Tue ,18000
